pname,pdesc,upc,sku,Price,uom,pack,pcat,pcat1,pcat2,country,region
Jack Daniel's Country Cocktails Southern Peach 6pk Bottles,Jack Daniel's Country Cocktails Southern Peach 6pk Bottles,#082184203088,#210000001740,6.99,,1,Beer,,,,
Jack Daniel's Country Cocktails Watermelon Punch 6pk Bottles,Jack Daniel's Country Cocktails Watermelon Punch 6pk Bottles,#082184226032,#210000001741,6.99,,1,Beer,,,,
Jack Daniel's Fire 375mL,Jack Daniel's Fire 375mL,#082184001561,#210000001742,13.99,,1,Whiskey,United States,Tennessee,,
Jack Daniel's Honey 1.75L,Jack Daniel's Honey 1.75L,#082184000618,#210000001743,58.99,,1,Whiskey,United States,Tennessee,,
Jack Daniel's Sinatra Select 1L,Jack Daniel's Sinatra Select 1L,#082184055533,#210000001744,177,,1,Whiskey,United States,Tennessee,,
Jack Daniel's Single Barrel Rye 4yr 750mL,Jack Daniel's Single Barrel Rye 4yr 750mL,#082184002094,#210000001745,54.99,,1,Whiskey,United States,Tennessee,,
Jack Daniel's Single Barrel Select 750mL,Jack Daniel's Single Barrel Select 750mL,#082184087008,#210000001746,61.99,,1,Whiskey,United States,Tennessee,,
Jack Daniel’s 10yr 750mL,Jack Daniel’s 10yr 750mL,#082184005231,#210000001747,82.99,,1,Whiskey,United States,Tennessee,,
Jack Links Beef Steak Bites Original 1.5oz,Jack Links Beef Steak Bites Original 1.5oz,#017082886002,#210000001748,4.99,,1,Food,,,,
Jack Links Beef Steak Bites Teriyaki 1.5oz bag,Jack Links Beef Steak Bites Teriyaki 1.5oz bag,#817082886026,#210000001749,4.99,,1,Food,Snacks,,,
Jack Links Jalapeño Beef Jerky 1.25oz,Jack Links Jalapeño Beef Jerky 1.25oz,#017082877581,#210000001750,4.99,,1,Food,Snacks,,,
Jack Links Original Beef Strip .9oz,Jack Links Original Beef Strip .9oz,#017082885166,#210000001751,2.89,,1,Food,,,,
Jack Links Teriyaki Beef Steak Bites 1.5oz,Jack Links Teriyaki Beef Steak Bites 1.5oz,#017082886026,#210000001752,4.99,,1,Food,,,,
Jack Links Teriyaki Beef Strip .9oz,Jack Links Teriyaki Beef Strip .9oz,#017082885142,#210000001753,2.89,,1,Food,,,,
Jagermeister Liqueur 1.75L,Jagermeister Liqueur 1.75L,#083089660174,#210000001754,44.99,,1,Liqueur,,,,
JaJa Tequila Blanco 750mL,JaJa Tequila Blanco 750mL,#088320007053,#210000001755,39.99,,1,Agave,Tequila,Blanco,,
Jam Cellars Butter Chardonnay,Jam Cellars Butter Chardonnay,#853706002034,#210000001756,22.99,,1,Wine,White Wine,Chardonnay,,
Jameson 18 Irish Whiskey Limited Reserve 750ML,Jameson 18 Irish Whiskey Limited Reserve 750ML,#080432404041,#210000001757,239.99,,1,Whiskey,,,,
Jameson Irish Whiskey Blenders Dog 750ML,Jameson Irish Whiskey Blenders Dog 750ML,#080432110652,#210000001758,76.99,,1,Whiskey,,,,
Jameson Irish Whiskey Cooper Croze 750ML,Jameson Irish Whiskey Cooper Croze 750ML,#080432110645,#210000001759,74.99,,1,Whiskey,,,,
Jameson Irish Whiskey Distillers Safe 750ML,Jameson Irish Whiskey Distillers Safe 750ML,#080432110669,#210000001760,76.99,,1,Whiskey,,,,
Jane Walker by Johnnie Walker Limited Edition 750mL,Jane Walker by Johnnie Walker Limited Edition 750mL,#082000792734,#210000001761,48.99,,1,Whiskey,Scotland,,,
Jarritos Mandarina 1.5L,Jarritos Mandarina 1.5L,#090478216218,#210000001762,3.99,,1,Mixers,,,,
Jean Paul Ballard Sancerre 2014,Jean Paul Ballard Sancerre 2014,#747389000022,#210000001763,26.99,,1,Wine,,,,
JEAN-PAUL BRUN FRV 100,JEAN-PAUL BRUN FRV 100,#610373581091,#210000001764,19.99,,1,Wine,,,,
Jefferson's Reserve Very Old 750mL,Jefferson's Reserve Very Old 750mL,#655709000013,#210000001765,69.99,,1,Bourbon,,,,
"Jehan Emonin Meursault ""Les Narvaux"" 2016","Jehan Emonin Meursault ""Les Narvaux"" 2016",#639737618181,#210000001766,61.99,,1,Wine,,,,
Jermann 50th Anniversary Pinot Grigio 2019,Jermann 50th Anniversary Pinot Grigio 2019,#819135020018,#210000001767,19.99,,1,Wine,,,,
Jermann Sauvignon Blanc 2017,Jermann Sauvignon Blanc 2017,#819135020100,#210000001768,36.99,,1,Wine,,,,
Jim Beam 1L,Jim Beam 1L,#080686001201,#210000001769,26.99,,1,Bourbon,Kentucky,,,
Jim Beam 200mL,Jim Beam 200mL,#080686001706,#210000001770,6.99,,1,Bourbon,Kentucky,,,
Jim Beam 375mL,Jim Beam 375mL,#080686001614,#210000001771,11.99,,1,Bourbon,Kentucky,,,
Jim Beam Apple 1.75L,Jim Beam Apple 1.75L,#080686006596,#210000001772,34.99,,1,Bourbon,Kentucky,,,
Jim Beam Black Extra Aged 1.75L,Jim Beam Black Extra Aged 1.75L,#080686034100,#210000001773,36.99,,1,Bourbon,Kentucky,,,
Jim Beam Bonded 100 750mL,Jim Beam Bonded 100 750mL,#080686008026,#210000001774,26.99,,1,Bourbon,Kentucky,,,
Jim Beam Honey 1.75L,Jim Beam Honey 1.75L,#080686006282,#210000001775,34.99,,1,Bourbon,Kentucky,,,
Jim Beam Kentucky Fire 750mL,Jim Beam Kentucky Fire 750mL,#080686006381,#210000001776,21.99,,1,Bourbon,Kentucky,,,
Jim Beam Peach 750mL,Jim Beam Peach 750mL,#080686021148,#210000001777,22.99,,1,Bourbon,Kentucky,,,
Jim Beam Vanilla 1.75L,Jim Beam Vanilla 1.75L,#080686006916,#210000001778,34.99,,1,Bourbon,Kentucky,,,
Jim Beam Vanilla 750mL,Jim Beam Vanilla 750mL,#080686006855,#210000001779,19.99,,1,Bourbon,Kentucky,,,
John Barr Black Scotch Reserve 750ML,John Barr Black Scotch Reserve 750ML,#087647111962,#210000001780,29.99,,1,Whiskey,Scotland,,,
Johnnie Walker Black 375ML,Johnnie Walker Black 375ML,#088110011192,#210000001781,25.99,,1,Whiskey,Scotland,,,
Johnnie Walker Black Label Gift Box 750ML,Johnnie Walker Black Label Gift Box 750ML,#088076182899,#210000001782,46.99,,1,Whiskey,,,,
Johnnie Walker Blue Label 750mL,Johnnie Walker Blue Label 750mL,#088110070052,#210000001783,299.99,,1,Whiskey,Scotland,,,
Johnnie Walker Gold 18YR 750ML,Johnnie Walker Gold 18YR 750ML,#088076181366,#210000001784,139.99,,1,Whiskey,Scotland,,,
Johnnie Walker Red 375ML,Johnnie Walker Red 375ML,#088110021191,#210000001785,19.99,,1,Whiskey,,,,
Johnnie Walker White Walker Game Of Thrones Edition 750ML,Johnnie Walker White Walker Game Of Thrones Edition 750ML,#088076182783,#210000001786,49.99,,1,Whiskey,Scotland,,,
Johnny Drum Black Label Straight Bourbon Whiskey 750ml,Johnny Drum Black Label Straight Bourbon Whiskey 750ml,#680203020175,#210000001787,29.99,,1,Bourbon,,,,
Jose Cuervo Cherry Limeade Margarita 1.75L,Jose Cuervo Cherry Limeade Margarita 1.75L,#811538019026,#210000001788,22.99,,1,Ready To Drink,,,,
Jose Cuervo Classic Margarita 1.75L,Jose Cuervo Classic Margarita 1.75L,#811538010993,#210000001789,22.99,,1,Ready To Drink,,,,
Jose Cuervo Classic Margarita Minis 4PK 200ML,Jose Cuervo Classic Margarita Minis 4PK 200ML,#811538011556,#210000001790,12.99,,1,Ready To Drink,,,,
Jose Cuervo De La Familia Extra Anejo 750mL,Jose Cuervo De La Familia Extra Anejo 750mL,#811538011457,#210000001791,239.99,,1,Agave,Tequila,Anejo,,
Jose Cuervo Especial Gold 1.75L,Jose Cuervo Especial Gold 1.75L,#811538010764,#210000001792,43.99,,1,Agave,Tequila,Reposado,,
Jose Cuervo Especial Silver 100ML,Jose Cuervo Especial Silver 100ML,#811538011990,#210000001793,3.79,,1,Agave,Tequila,Blanco,,
Jose Cuervo Gold 1L,Jose Cuervo Gold 1L,#811538010801,#210000001794,28.99,,1,Agave,Tequila,Reposado,,
Jose Cuervo Light Margarita 1.75L,Jose Cuervo Light Margarita 1.75L,#811538011006,#210000001795,22.99,,1,Ready To Drink,,,,
Jose Cuervo Margarita Salt 6.25oz,Jose Cuervo Margarita Salt 6.25oz,#076381123454,#210000001796,4.99,,1,Mixers,,,,
Jose Cuervo Red Sangria Margarita 1.75L,Jose Cuervo Red Sangria Margarita 1.75L,#811538019446,#210000001797,22.99,,1,Ready To Drink,,,,
Jose Cuervo Silver Tequila 1.75L,Jose Cuervo Silver Tequila 1.75L,#811538010771,#210000001798,33.99,,1,Agave,Tequila,Blanco,,
Jose Cuervo Strawberry Lime Margarita 1.75L,Jose Cuervo Strawberry Lime Margarita 1.75L,#811538011037,#210000001799,22.99,,1,Ready To Drink,,,,
Jose Cuervo Strawberry Margarita Mix 1.0L,Jose Cuervo Strawberry Margarita Mix 1.0L,#811538011204,#210000001800,7.99,,1,Mixers,Margarita,,,
Jose Cuervo Tradicional Plata 1L,Jose Cuervo Tradicional Plata 1L,#811538011433,#210000001801,29.99,,1,Agave,Tequila,Blanco,,
Jose Cuervo Tradicional Tequila Reposado 375ML,Jose Cuervo Tradicional Tequila Reposado 375ML,#811538011365,#210000001802,22.99,,1,Agave,,,,
Jose Cuervo White Peach Light Margarita 1.75L,Jose Cuervo White Peach Light Margarita 1.75L,#811538011587,#210000001803,22.99,,1,Ready To Drink,,,,
José Dhondt 2009 Blanc de Blancs Mes Vieilles Vignes Champagne,José Dhondt 2009 Blanc de Blancs Mes Vieilles Vignes Champagne,#3554770047255,#210000001804,69.99,,1,Champagne,,,,
Joseph Carr Merlot 2014,Joseph Carr Merlot 2014,#857744001011,#210000001805,24.99,,1,Wine,,,,
"Joseph Drouhin Pouilly-Fuisse, 2022","Joseph Drouhin Pouilly-Fuisse, 2022",#012086331015,#210000001806,52.99,,1,Wine,White Wine,Chardonnay,,
Josh Cabernet Special Cowboys Edition 2017,Josh Cabernet Special Cowboys Edition 2017,#031259000008,#210000001807,18.99,,1,Wine,Red Wine,Cabernet Sauvignon,,
Josh Cellars Cabernet Sauvignon 2018 750ML,Josh Cellars Cabernet Sauvignon 2018 750ML,#857744001318,#210000001808,16.99,,1,Wine,,,,
Josh Cellars Merlot,Josh Cellars Merlot,#857744011157,#210000001809,15.99,,1,Wine,Red Wine,Merlot,,
Josh Cellars Reserve Bourbon Barrel Aged,Josh Cellars Reserve Bourbon Barrel Aged,#031259004327,#210000001810,20.99,,1,Wine,,,,
Josh North Coast Reserve Cabernet Sauvignon 2015,Josh North Coast Reserve Cabernet Sauvignon 2015,#031259000046,#210000001811,20.99,,1,Wine,,,,
Jositos Chili and Lime Wildfire Chips 4oz,Jositos Chili and Lime Wildfire Chips 4oz,#861394002601,#210000001812,2.75,,1,Food,Chips,,,
Jozen Mizunogotoshi Nama Junmai Ginjo Shirataki Shuzo 300ML,Jozen Mizunogotoshi Nama Junmai Ginjo Shirataki Shuzo 300ML,#4980573306319,#210000001813,21.99,,1,Sake,,,,
JP Wisers Deluxe Canadian Whiskey,JP Wisers Deluxe Canadian Whiskey,#048415000109,#210000001814,30.99,,1,Whiskey,Canada,,,
JR Ewing Bourbon 750ML,JR Ewing Bourbon 750ML,#793573864000,#210000001815,36.99,,1,Bourbon,,,,
Juan Gil Red Blend 2018,Juan Gil Red Blend 2018,#851115002706,#210000001816,19.99,,1,Wine,,,,
Jumex Pineapple Coconut Nectar 11oz Can,Jumex Pineapple Coconut Nectar 11oz Can,#076406022601,#210000001817,1.99,,1,Mixers,Juice,,,
Jumex Pineapple-Coconut Nectar 16oz,Jumex Pineapple-Coconut Nectar 16oz,#076406668601,#210000001818,2.79,,1,Mixers,,,,
Just CBD Apple Rings 250mg,Just CBD Apple Rings 250mg,#692769186721,#210000001819,14.99,,1,CBD Food,,,,
Just CBD Apple Rings 500mg,Just CBD Apple Rings 500mg,#692769186707,#210000001820,28.99,,1,CBD Food,,,,
Just CBD Cherries 500mg,Just CBD Cherries 500mg,#605926377009,#210000001821,28.99,,1,CBD Food,,,,
Just CBD Gummies Sour Bears 250mg,Just CBD Gummies Sour Bears 250mg,#692769186516,#210000001822,14.99,,1,CBD Food,,,,
Just CBD Peach Rings 500MG,Just CBD Peach Rings 500MG,#692769186844,#210000001823,28.99,,1,CBD Food,,,,
Just CBD Sour Bears 500mg,Just CBD Sour Bears 500mg,#692769186578,#210000001824,28.99,,1,CBD Food,,,,
Just CBD Sugar Free Bears 250mg,Just CBD Sugar Free Bears 250mg,#605926377092,#210000001825,14.99,,1,CBD Food,,,,
Juve & Camps Pinot Noir Brut Rose,Juve & Camps Pinot Noir Brut Rose,#815019025094,#210000001826,18.99,,1,Wine,,,,
Kahlua Chili Chocolate 750mL,Kahlua Chili Chocolate 750mL,#089540521299,#210000001827,26.99,,1,Liqueur,,,,
Kahlua Mint Mocha 750mL,Kahlua Mint Mocha 750mL,#089540540085,#210000001828,26.99,,1,Liqueur,,,,
Kahlua Mudslide Ready to drink 1.75L,Kahlua Mudslide Ready to drink 1.75L,#089540416373,#210000001829,21.99,,1,Ready To Drink,,,,
Kahlua Original 375ML,Kahlua Original 375ML,#089540145631,#210000001830,17.99,,1,Liqueur,,,,
Kahlua White Russian Ready to Drink 1.75L,Kahlua White Russian Ready to Drink 1.75L,#089540423241,#210000001831,21.99,,1,Mixers,,,,
Kanbara Bride of the Fox Jumai Ginjo Sake 300ml,Kanbara Bride of the Fox Jumai Ginjo Sake 300ml,#835603005400,#210000001833,15.99,,1,Sake,,,,
Karbach Hella Chela Spicy Cerveza 19.2oz Can,Karbach Hella Chela Spicy Cerveza 19.2oz Can,#850598008557,#210000001834,3.19,,1,Beer,,,,
Karbach Southern Wheat 6pk Cans,Karbach Southern Wheat 6pk Cans,#810028200067,#210000001835,10.39,,1,Beer,,,,
Karbach Yule Shoot Your Eye Out Red Ale 6pk,Karbach Yule Shoot Your Eye Out Red Ale 6pk,#855417003294,#210000001836,8.99,,1,Beer,,,,
Karthauserhof Riesling Trocken 2017,Karthauserhof Riesling Trocken 2017,#515688433548,#210000001837,26.99,,1,Wine,,,,
Katy Trail Oro Blanco 750ML,Katy Trail Oro Blanco 750ML,#865061000419,#210000001838,23.99,,1,Vodka,,,,
Katy Trail Vodka 750ML,Katy Trail Vodka 750ML,#865061000402,#210000001839,23.99,,1,Vodka,,,,
Kavalan Whisky 750mL,Kavalan Whisky 750mL,#4710085219513,#210000001840,89.99,,1,Whiskey,,,,
Keebler Club Original Crackers 5oz,Keebler Club Original Crackers 5oz,#030100038979,#210000001841,3.15,,1,Food,,,,
Keenan Cabernet Sauvignon 2014,Keenan Cabernet Sauvignon 2014,#728967021752,#210000001842,58.99,,1,Wine,Red Wine,Cabernet Sauvignon,,
Keenan Cabernet Sauvignon 2014,Keenan Cabernet Sauvignon 2014,#728967021752,#210000001843,58.99,,1,Wine,,,,
Kendall-Jackson Vintner's Reserve Chardonnay,Kendall-Jackson Vintner's Reserve Chardonnay,#081584013105,#210000001844,17.99,,1,Wine,,,,
Kentucky Gentleman 1.75L,Kentucky Gentleman 1.75L,#080660246314,#210000001845,16.99,,1,Bourbon,,,,
Kentucky Owl Confiscated 750ML,Kentucky Owl Confiscated 750ML,#857361007052,#210000001846,179.99,,1,Bourbon,,,,
Kentucky Vintage Bourbon 750ml,Kentucky Vintage Bourbon 750ml,#680203060072,#210000001847,37.99,,1,Bourbon,,,,
Kermit Lynch 'Cypress' Cotes du Rhone 2018,Kermit Lynch 'Cypress' Cotes du Rhone 2018,#761503634832,#210000001848,14.99,,1,Wine,,,,
Kermit Lynch Côtes du Rhône 2018,Kermit Lynch Côtes du Rhône 2018,#761503634559,#210000001849,17.99,,1,Wine,Red Wine,Blend,,
Ketel One Botanical Cucumber Mint 750mL,Ketel One Botanical Cucumber Mint 750mL,#085156875009,#210000001850,31.99,,1,Vodka,Netherlands,,,
Ketel One Citron 750mL,Ketel One Citron 750mL,#085156007509,#210000001851,29.99,,1,Vodka,Netherlands,,,
Kettle Brand Buffalo Bleu 2oz,Kettle Brand Buffalo Bleu 2oz,#084114113382,#210000001852,2.29,,1,Food,Chips,,,
Kettle Brand Kringle Cut 2oz Bag,Kettle Brand Kringle Cut 2oz Bag,#084114032607,#210000001853,2.29,,1,Food,Chips,,,
Kettle Brand Pepperoncini 2oz,Kettle Brand Pepperoncini 2oz,#084114221988,#210000001855,2.29,,1,Food,Chips,,,
Kettle Brand Sea Salt & Vinegar 2oz,Kettle Brand Sea Salt & Vinegar 2oz,#084114033338,#210000001856,2.29,,1,Food,Chips,,,
Keystone Ice 30pk 12oz Cans,Keystone Ice 30pk 12oz Cans,#071990477141,#210000001857,19.99,,1,Beer,,,,
Keystone Light 30pk 12oz Cans,Keystone Light 30pk 12oz Cans,#071990480196,#210000001858,26.49,,1,Beer,,,,
Khor Platinum Vodka 1.75L,Khor Platinum Vodka 1.75L,#4820163121765,#210000001859,22.99,,1,Vodka,,,,
Khortytsa Platinum Vodka 750ML,Khortytsa Platinum Vodka 750ML,#4820163121741,#210000001860,14.99,,1,Vodka,,,,
Ki No Bi Kyoto Dry Gin 750ML,Ki No Bi Kyoto Dry Gin 750ML,#4589633900032,#210000001861,79.99,,1,Gin,Japan,,,
Kinky Pink Liq 6Pk 750ml,Kinky Pink Liq 6Pk 750ml,#084279983431,#210000001862,22.99,,1,Liqueur,,,,
Kir-Yianni Ramnista 2013 750ml,Kir-Yianni Ramnista 2013 750ml,#5203888184021,#210000001863,23.99,,1,Wine,,,,
Kirin Light Japanese Beer 6pk Bottles,Kirin Light Japanese Beer 6pk Bottles,#040063116782,#210000001864,11.99,,1,Beer,Japan,,,
Kiuchi Brewery Hitachino Nest Espresso Stout 11.2oz,Kiuchi Brewery Hitachino Nest Espresso Stout 11.2oz,#4934418001457,#210000001865,4.99,,1,Beer,,,,
Knob Creek Bourbon 375ml,Knob Creek Bourbon 375ml,#080686016601,#210000001866,16.99,,1,Bourbon,,,,
Knob Creek Quarter Oak,Knob Creek Quarter Oak,#080686016663,#210000001867,129.99,,1,Bourbon,,,,
"Knob Creek Single Barrel Bourbon, 120 Proof 750ML","Knob Creek Single Barrel Bourbon, 120 Proof 750ML",#080686016816,#210000001868,49.99,,1,Bourbon,,,,
Mars Komagatake Single Malt Limited Edition 2019,Mars Komagatake Single Malt Limited Edition 2019,#4976881503380,#210000001869,199.99,,1,Whiskey,Japan,,,
Korbel Brandy 750ML,Korbel Brandy 750ML,#084704000078,#210000001870,11.99,,1,Brandy,,,,
Kraemer Blanc de Blancs Brut,Kraemer Blanc de Blancs Brut,#641586133340,#210000001872,9.99,,1,Champagne,,,,
KRIS PINOT GRIGIO 2017,KRIS PINOT GRIGIO 2017,#098709436206,#210000001873,13.99,,1,Wine,,,,
Krogstad Aquavit 750mL,Krogstad Aquavit 750mL,#853507000031,#210000001874,32.99,,1,Liqueur,,,,
Krug Grande Cuvée Champagne NV,Krug Grande Cuvée Champagne NV,#081753829360,#210000001875,209.99,,1,Champagne,,,,
Kuentz Bas Pinot Blanc,Kuentz Bas Pinot Blanc,#761503225849,#210000001876,19.99,,1,Wine,White Wine,Pinot Blanc,,
Kung fu Girl Riesling 2017,Kung fu Girl Riesling 2017,#086003253001,#210000001877,15.99,,1,Wine,White Wine,Riesling,,
2017 Kungfu Girl Riesling,2017 Kungfu Girl Riesling,#086003253001,#210000001878,15.99,,1,Wine,White Wine,Riesling,,
Künstler 2015 Riesling Dry  750ml,Künstler 2015 Riesling Dry  750ml,#747736442246,#210000001879,21.99,,1,Wine,White Wine,Riesling,,
Kyoto Ki No Tea Dry Gin 750ML,Kyoto Ki No Tea Dry Gin 750ML,#4589633900544,#210000001880,87.99,,1,Gin,Japan,,,
2018 L'Acote Rosé,2018 L'Acote Rosé,#855462005045,#210000001881,11.99,,1,Wine,Rosé,,,
L'Bella Valenciana Brut,L'Bella Valenciana Brut,#000662124229,#210000001882,11.99,,1,Sparkling Wine,Cava,,,
La Crema Monterey Country Chardonnay 2016,La Crema Monterey Country Chardonnay 2016,#049331021094,#210000001883,21.99,,1,Wine,,,,
La Crema Pinot Noir 2016 750ML,La Crema Pinot Noir 2016 750ML,#049331002307,#210000001884,25.99,,1,Wine,,,,
La Crema Russian River Valley Chardonnay 2018,La Crema Russian River Valley Chardonnay 2018,#049331002215,#210000001885,32.99,,1,Wine,White Wine,Chardonnay,,
La Crema Sonoma Coast Chardonnay 2016,La Crema Sonoma Coast Chardonnay 2016,#049331002222,#210000001886,20.99,,1,Wine,,,,
2016 La Crema Sonoma Coast Pinot Noir 375ML,2016 La Crema Sonoma Coast Pinot Noir 375ML,#049331000389,#210000001887,15.99,,1,Wine,Red Wine,Pinot Noir,,
La Croix Key Lime Sparkling Water 12oz Can,La Croix Key Lime Sparkling Water 12oz Can,#012993441081,#210000001888,1.29,,1,Mixers,Sparkling Water,,,
La Croix Lemon 12oz Can,La Croix Lemon 12oz Can,#073360377518,#210000001889,1.29,,1,Mixers,Sparkling Water,,,
La Croix Lime Sparkling Water 12oz Can,La Croix Lime Sparkling Water 12oz Can,#073360237515,#210000001890,1.29,,1,Mixers,Sparkling Water,,,
La Croix Pamplemousse Sparkling Water 12oz Can,La Croix Pamplemousse Sparkling Water 12oz Can,#012993101619,#210000001891,1.29,,1,Mixers,Sparkling Water,,,
La Croix Razz-Cranberry Sparkling Water 12oz Can,La Croix Razz-Cranberry Sparkling Water 12oz Can,#073360327513,#210000001892,1.29,,1,Mixers,Sparkling Water,,,
La Croix Tangerine Sparkling Water Can 12oz Can,La Croix Tangerine Sparkling Water Can 12oz Can,#012993441074,#210000001893,1.29,,1,Mixers,Sparkling Water,,,
La Fiera Moscato,La Fiera Moscato,#089832901006,#210000001894,11.99,,1,Wine,,,,
La Fôret Gasselin Sancerre 2017,La Fôret Gasselin Sancerre 2017,#3177170063542,#210000001895,27.99,,1,Wine,,,,
La Hora Azul The Blue Hour Reposado 750mL,La Hora Azul The Blue Hour Reposado 750mL,#850571000028,#210000001897,44.99,,1,Agave,Tequila,Reposado,,
La Spinona Barbera d'Alba 2005,La Spinona Barbera d'Alba 2005,#8021720404581,#210000001898,24.99,,1,Wine,Red Wine,Barbera,,
"La Taille aux Loups Brut Tradition, Jacky Blot","La Taille aux Loups Brut Tradition, Jacky Blot",#555666555666,#210000001899,31.99,,1,Sparkling Wine,,,,
La Venenosa Raicilla 750mL,La Venenosa Raicilla 750mL,#799599687715,#210000001900,82.99,,1,Agave,Raicilla,,,
La Vieille Ferme Reserve Brut,La Vieille Ferme Reserve Brut,#631470008038,#210000001901,15.99,,1,Wine,,,,
La Vieille Ferme Reserve Rose,La Vieille Ferme Reserve Rose,#631470008021,#210000001902,11.99,,1,Wine,Rosé,,,
Labatt Blue 11.5oz 6pk Bottles,Labatt Blue 11.5oz 6pk Bottles,#062067051722,#210000001903,9.19,,1,Beer,,,,
Lady Diva Prosecco 187ML,Lady Diva Prosecco 187ML,#8008863059366,#210000001904,5.99,,1,Sparkling Wine,Prosecco,,,
Lagarde Rose,Lagarde Rose,#728857202988,#210000001905,12.99,,1,Wine,Rosé,,,
Lagavulin 11yr Offerman Edition 750ML,Lagavulin 11yr Offerman Edition 750ML,#088076187702,#210000001906,179.99,,1,Whiskey,Scotland,,,
Lagavulin Islay Distillers Edition Malt Scotch 750ML,Lagavulin Islay Distillers Edition Malt Scotch 750ML,#088076171664,#210000001907,116.99,,1,Whiskey,Scotland,,,
Lagunitas IPA 19.2oz Can,Lagunitas IPA 19.2oz Can,#723830011922,#210000001908,1.99,,1,Beer,United States,California,,
Lagunitas Little Sumpin 6pk Bottles,Lagunitas Little Sumpin 6pk Bottles,#723830000209,#210000001909,11.79,,1,Beer,,,,
Lakewood Brewery Lager 6pk Bottles,Lakewood Brewery Lager 6pk Bottles,#852196004054,#210000001910,10.69,,1,Beer,United States,Texas,,
Lang and Reed Cabernet Franc 2014,Lang and Reed Cabernet Franc 2014,#855226003126,#210000001911,27.99,,1,Wine,Red Wine,Cabernet Franc,,
Langlois Brut 750ml,Langlois Brut 750ml,#086891075792,#210000001912,18.99,,1,Sparkling Wine,,,,
Langlois Cremant de Loire Brut 750ML,Langlois Cremant de Loire Brut 750ML,#086891075792,#210000001913,18.99,,1,Sparkling Wine,Cremant,,,
Lanson Champagne Black Label Brut,Lanson Champagne Black Label Brut,#692743002863,#210000001914,49.99,,1,Champagne,,,,
Lanson Green Label Organic Champagne 750ml,Lanson Green Label Organic Champagne 750ml,#692743073467,#210000001915,72.99,,1,Champagne,,,,
Laphroaig Islay Single Malt Triple Wood 750ML,Laphroaig Islay Single Malt Triple Wood 750ML,#080686815013,#210000001916,73.99,,1,Whiskey,,,,
Laphroaig Quarter Cask 750ML,Laphroaig Quarter Cask 750ML,#080686813033,#210000001917,65.99,,1,Whiskey,,,,
Larceny Bourbon Barrel Proof 750mL,Larceny Bourbon Barrel Proof 750mL,#096749002658,#210000001918,124.99,,1,Bourbon,,,,
Lays Barbecue Potato Chips 1oz,Lays Barbecue Potato Chips 1oz,#028400008617,#210000001920,0.99,,1,Food,Chips,,,
Lays Classic Potato Chips 1oz,Lays Classic Potato Chips 1oz,#028400090858,#210000001921,0.99,,1,Food,Chips,,,
Lays Classic Potato Chips 2.25oz,Lays Classic Potato Chips 2.25oz,#028400355605,#210000001922,3.19,,1,Food,Chips,,,
Lays Limon 1.5oz Bag,Lays Limon 1.5oz Bag,#028400132893,#210000001923,1.79,,1,Food,Chips,,,
Lays Limon 15oz,Lays Limon 15oz,#028400175456,#210000001924,7.99,,1,Food,Chips,,,
Lays Sour Cream & Onion Potato Chips 1oz,Lays Sour Cream & Onion Potato Chips 1oz,#028400090889,#210000001925,0.99,,1,Food,Chips,,,
Le Brun Servenay Champagne Selection Grand Cru,Le Brun Servenay Champagne Selection Grand Cru,#3554770017210,#210000001926,54.99,,1,Champagne,,,,
Le Contesse Pinot Spumonte Rosé,Le Contesse Pinot Spumonte Rosé,#8005068000032,#210000001927,14.99,,1,Wine,,,,
Le Grand Courtage Brut Blanc De Blancs NV,Le Grand Courtage Brut Blanc De Blancs NV,#011699015657,#210000001929,19.99,,1,Sparkling Wine,,,,
Le Grand Prébois,Le Grand Prébois,#631470008236,#210000001930,11.99,,1,Wine,,,,
Le Mesnil Blanc de Blancs,Le Mesnil Blanc de Blancs,#700092711101,#210000001931,49.99,,1,Champagne,,,,
Le Saint-Estèphe de Chateau Montrose 2015,Le Saint-Estèphe de Chateau Montrose 2015,#639737616491,#210000001932,44.99,,1,Wine,,,,
Lea & Perrins Worcestershire Sauce 10oz,Lea & Perrins Worcestershire Sauce 10oz,#05160133,#210000001933,5.99,,1,Mixers,,,,
Leaf Organic Vodka 750ML,Leaf Organic Vodka 750ML,#851434005013,#210000001934,28.99,,1,Vodka,,,,
Leclerc Briant Champagne Reserve Brut 750ml,Leclerc Briant Champagne Reserve Brut 750ml,#3465020000671,#210000001935,64.99,,1,Champagne,,,,
Legal Draft Nowhere But Texas 6pkCans,Legal Draft Nowhere But Texas 6pkCans,#857917006614,#210000001937,8.99,,1,Beer,,,,
Legal Hung Jury Hefeweizen 6PK 12oz,Legal Hung Jury Hefeweizen 6PK 12oz,#857917006140,#210000001938,10.29,,1,Beer,,,,
Legal Smash And Grab IPA 6pk,Legal Smash And Grab IPA 6pk,#857917006270,#210000001939,9.99,,1,Beer,,,,
Leitz Rheingau Riesling 2017,Leitz Rheingau Riesling 2017,#870701001886,#210000001940,19.99,,1,Wine,White Wine,Riesling,,
Leopold Bros American Small Batch Gin 750ML,Leopold Bros American Small Batch Gin 750ML,#836137005010,#210000001941,39.99,,1,Gin,,,,
Leopold Bros American Small Batch Whiskey 750mL,Leopold Bros American Small Batch Whiskey 750mL,#836137000022,#210000001942,39.99,,1,Whiskey,,,,
